author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/262519758/,Москва,sale,flat,5,21,2,110.6,103787040.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
ID 108172779,real_estate_agent,https://www.cian.ru/sale/flat/301496936/,Москва,sale,flat,7,8,1,53.2,58786000.0,Таганский,Славянская площадь,2/5с1,Китай-город,LUMIN
Tekta Group,developer,https://www.cian.ru/sale/flat/301259751/,Москва,sale,flat,23,42,2,41.6,25837760.0,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/302081797/,Москва,sale,flat,2,10,2,69.4,85000000.0,Тверской, Палиха,4,Менделеевская,Клубный дом Maison Rouge
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,143796000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Life Style,real_estate_agent,https://www.cian.ru/sale/flat/294212104/,Москва,sale,flat,34,78,2,76.1,62000000.0,Пресненский,1-й Красногвардейский проезд,22с2,Москва-Сити,NEVA TOWERS
Главстрой,developer,https://www.cian.ru/sale/flat/296921240/,Москва,sale,flat,3,26,2,65.8,27526142.0,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ID 85604823,unknown,https://www.cian.ru/sale/flat/299429352/,Москва,sale,flat,38,51,2,63.0,36000000.0,Пресненский,Шмитовский проезд,39к8,Шелепиха,Headliner
Главстрой,developer,https://www.cian.ru/sale/flat/301772281/,Москва,sale,flat,2,8,2,48.83,24219680.0,Котловка,31/2,31/2,Профсоюзная,Новые Академики ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/276019027/,Москва,sale,flat,6,6,2,130.0,58000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
MR Group,developer,https://www.cian.ru/sale/flat/304294682/,Москва,sale,flat,2,46,2,63.78,30642834.0,Даниловский,Дубининская ,59А,Серпуховская,Павелецкая Сити
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/298050405/,Москва,sale,flat,7,9,2,108.3,169000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
БЭЛ Девелопмент,developer,https://www.cian.ru/sale/flat/303377181/,Москва,sale,flat,3,6,2,38.7,38313000.0,Тверской,Долгоруковская ,25к2,Новослободская,Долгоруковская 25
САДОВЫЕ КВАРТАЛЫ,real_estate_agent,https://www.cian.ru/sale/flat/303087931/,Москва,sale,flat,7,15,2,120.0,149500000.0,Хамовники, Усачева,15,Спортивная,Садовые кварталы
Tekta Group,developer,https://www.cian.ru/sale/flat/303224329/,Москва,sale,flat,7,34,2,41.4,21296160.0,Обручевский,,,Воронцовская,Эвер ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/301493797/,Москва,sale,flat,9,32,2,63.0,50700000.0,Дорогомилово,Поклонная ,9,Поклонная,Поклонная 9
MR Group,developer,https://www.cian.ru/sale/flat/300287958/,Москва,sale,flat,33,43,2,58.83,27333836.0,Савеловский,2-я Хуторская ,34,Дмитровская,SYMPHONY 34
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/303439862/,Москва,sale,flat,3,10,2,90.0,37900000.0,Басманный,Нижняя Красносельская ,35С48,Бауманская,TriBeCa APARTMENTS
Tekta Group,developer,https://www.cian.ru/sale/flat/301260478/,Москва,sale,flat,5,27,2,40.5,24036750.0,Даниловский,,,Павелецкая,Era
ID 86900871,realtor,https://www.cian.ru/sale/flat/297947020/,Москва,sale,flat,2,3,2,46.3,56000000.0,Басманный, Маросейка,11/4С1,Китай-город,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/304172962/,Москва,sale,flat,4,7,2,66.2,25745180.0,,,В17 кв-л,Опалиха,Сберсити ЖК
ID 112591621,homeowner,https://www.cian.ru/sale/flat/301839935/,Москва,sale,flat,13,45,2,51.0,31500000.0,Дорогомилово,Кутузовский проезд,16А/1,Деловой центр,River Park Кутузовский
Мангазея,developer,https://www.cian.ru/sale/flat/301581592/,Москва,sale,flat,9,21,2,74.2,36238909.0,Щукино,Щукинская ,,Щукинская,Интонация
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/302544975/,Москва,sale,flat,19,41,1,47.6,42000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516517/,Москва,sale,flat,2,11,2,47.0,24769000.0,,,В14 кв-л,Павшино,Сберсити ЖК
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/304254105/,Москва,sale,flat,21,24,1,34.1,10500000.0,, Бачуринская,13,Коммунарка,
Ташир,developer,https://www.cian.ru/sale/flat/304143918/,Москва,sale,flat,10,32,2,76.6,31834960.0,Черемушки,Херсонская ,43к5,Зюзино,ONYX Deluxe
Центр Недвижимости Татьяны Анисимовой,real_estate_agent,https://www.cian.ru/sale/flat/299242534/,Москва,sale,flat,1,3,1,44.0,9800000.0,, Нильса Бора,6,Коммунарка,
COLDY,developer,https://www.cian.ru/sale/flat/303330158/,Москва,sale,flat,2,15,2,70.8,54813512.0,Даниловский, Серпуховский Вал,7,Тульская,Дом 7 Даниловский
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/303753500/,Москва,sale,flat,3,5,2,69.3,52000000.0,Хорошевский,Ленинградский проспект,37/5,Аэропорт,Прайм Парк
PIONEER,developer,https://www.cian.ru/sale/flat/301513284/,Москва,sale,flat,4,22,2,47.2,24921930.0,Марьина роща,Полковая ,1С12,Савёловская,PRIDE
Century 21 Street Realty,real_estate_agent,https://www.cian.ru/sale/flat/295800676/,Москва,sale,flat,4,17,2,44.5,39500000.0,Пресненский,Звенигородское шоссе,11,Улица 1905 года,Дизайнерский дом Eleven
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/298516183/,Москва,sale,flat,2,12,2,85.94,38612842.0,,,В19 кв-л,Павшино,Сберсити ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/301565559/,Москва,sale,flat,5,21,2,117.0,115000000.0,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040442/,Москва,sale,flat,2,6,2,102.4,98201600.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов 
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/272003903/,Москва,sale,flat,5,6,2,43.0,27500000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934989/,Москва,sale,flat,4,13,2,81.26,34421736.0,,,В21 кв-л,Опалиха,Сберсити ЖК
Бюро Эстейт Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301212653/,Москва,sale,flat,2,24,2,57.4,26000000.0,Хорошево-Мневники,Шелепихинская набережная,40к2,Шелепиха,Sydney City
Пионер,developer,https://www.cian.ru/sale/flat/301459955/,Москва,sale,flat,4,11,2,85.3,70625414.0,Даниловский,,,Павелецкая,Опус ЖК
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/300942839/,Москва,sale,flat,2,7,2,82.6,38000000.0,Беговой,Ленинградский проспект,15С28,Белорусская,Bolshevik
Киноцентр,developer,https://www.cian.ru/sale/flat/302253810/,Москва,sale,flat,7,20,2,54.85,54795150.0,Пресненский,Дружинниковская ,15,Краснопресненская,SkyView
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/303902201/,Москва,sale,flat,17,24,2,45.0,37000000.0,Хорошевский,Хорошевское шоссе,25Ак2,Полежаевская,Династия
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/303040534/,Москва,sale,flat,3,8,2,75.2,50308800.0,Замоскворечье,Шлюзовая набережная,2/1С1,Павелецкая,Элитный жилой комплекс 
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,32000000.0,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
Среда,developer,https://www.cian.ru/sale/flat/303859205/,Москва,sale,flat,6,27,2,53.6,20630640.0,Очаково-Матвеевское,Очаково мкр,,Аминьевская,Среда на Лобачевского
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301763282/,Москва,sale,flat,39,41,2,56.9,40000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
EraOneHolding,developer,https://www.cian.ru/sale/flat/280427150/,Москва,sale,flat,3,5,2,178.6,150400000.0,Арбат, Арбат,39,Смоленская,Artisan
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301910921/,Москва,sale,flat,20,23,2,68.1,34118100.0,Басманный, Фридриха Энгельса,56,Бауманская,Премиум-квартал 
